"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 24, 2015","7,831.60","7,837.00","7,870.35","7,812.65","134.56M","-0.22%"
"Nov 23, 2015","7,849.25","7,869.50","7,877.50","7,825.20","130.87M","-0.09%"
"Nov 20, 2015","7,856.55","7,841.90","7,906.95","7,817.80","156.61M","0.18%"
"Nov 19, 2015","7,842.75","7,788.50","7,854.90","7,765.45","136.70M","1.43%"
"Nov 18, 2015","7,731.80","7,823.15","7,843.40","7,725.05","148.04M","-1.35%"
"Nov 17, 2015","7,837.55","7,848.75","7,860.45","7,793.00","149.45M","0.40%"
"Nov 16, 2015","7,806.60","7,732.95","7,838.85","7,714.15","154.14M","0.57%"
"Nov 13, 2015","7,762.25","7,762.45","7,775.10","7,730.90","165.88M","-0.80%"
"Nov 11, 2015","7,825.00","7,838.80","7,847.95","7,819.10","223.80M","0.54%"
"Nov 10, 2015","7,783.35","7,877.60","7,885.10","7,772.85","170.27M","-1.67%"
"Nov 09, 2015","7,915.20","7,788.25","7,937.75","7,771.70","218.42M","-0.49%"
"Nov 06, 2015","7,954.30","7,956.55","8,002.65","7,926.15","226.33M","-0.01%"
"Nov 05, 2015","7,955.45","8,030.35","8,031.20","7,944.10","136.22M","-1.05%"
"Nov 04, 2015","8,040.20","8,104.90","8,116.10","8,027.30","125.94M","-0.25%"
"Nov 03, 2015","8,060.70","8,086.35","8,100.35","8,031.75","136.62M","0.12%"
"Nov 02, 2015","8,050.80","8,054.55","8,060.70","7,995.60","140.32M","-0.19%"
"Oct 30, 2015","8,065.80","8,123.55","8,146.10","8,044.40","205.66M","-0.57%"
"Oct 29, 2015","8,111.75","8,175.45","8,179.60","8,098.00","224.23M","-0.73%"
"Oct 28, 2015","8,171.20","8,188.90","8,209.10","8,131.80","194.71M","-0.75%"
"Oct 27, 2015","8,232.90","8,230.35","8,241.95","8,217.05","161.49M","-0.33%"
"Oct 26, 2015","8,260.55","8,333.65","8,336.30","8,252.05","138.01M","-0.42%"
"Oct 23, 2015","8,295.45","8,308.25","8,328.10","8,280.75","156.66M","0.53%"
"Oct 21, 2015","8,251.70","8,258.35","8,294.40","8,217.15","149.27M","-0.12%"
"Oct 20, 2015","8,261.65","8,280.30","8,294.05","8,229.20","159.95M","-0.16%"
"Oct 19, 2015","8,275.05","8,262.55","8,283.05","8,239.20","128.30M","0.45%"
"Oct 16, 2015","8,238.15","8,193.65","8,246.40","8,147.65","161.15M","0.72%"
"Oct 15, 2015","8,179.50","8,134.35","8,190.55","8,129.80","172.43M","0.88%"
"Oct 14, 2015","8,107.90","8,102.40","8,139.30","8,096.35","143.16M","-0.29%"
"Oct 13, 2015","8,131.70","8,121.95","8,150.25","8,088.60","150.43M","-0.15%"
"Oct 12, 2015","8,143.60","8,231.50","8,244.50","8,128.20","205.26M","-0.56%"
"Oct 09, 2015","8,189.70","8,186.35","8,232.20","8,139.65","205.86M","0.74%"
"Oct 08, 2015","8,129.35","8,196.75","8,196.75","8,105.85","177.03M","-0.59%"
"Oct 07, 2015","8,177.40","8,146.20","8,188.90","8,132.90","199.91M","0.30%"
"Oct 06, 2015","8,152.90","8,180.45","8,180.95","8,096.50","184.04M","0.41%"
"Oct 05, 2015","8,119.30","8,005.10","8,128.90","8,005.10","188.83M","2.12%"
"Oct 01, 2015","7,950.90","7,992.05","8,008.25","7,930.65","161.81M","0.03%"
"Sep 30, 2015","7,948.90","7,924.25","7,957.70","7,874.50","217.19M","1.35%"
"Sep 29, 2015","7,843.30","7,725.70","7,926.55","7,691.20","248.11M","0.61%"
"Sep 28, 2015","7,795.70","7,892.80","7,893.95","7,787.95","140.48M","-0.93%"
"Sep 24, 2015","7,868.50","7,838.40","7,894.50","7,804.10","208.77M","0.29%"
"Sep 23, 2015","7,845.95","7,737.35","7,882.90","7,723.25","151.20M","0.43%"
"Sep 22, 2015","7,812.00","8,014.80","8,021.60","7,787.75","173.57M","-2.07%"
"Sep 21, 2015","7,977.10","7,911.50","7,987.90","7,908.35","125.63M","-0.06%"
"Sep 18, 2015","7,981.90","7,967.45","8,055.00","7,955.85","249.31M","1.05%"
"Sep 16, 2015","7,899.15","7,886.85","7,913.90","7,853.30","144.33M","0.89%"
"Sep 15, 2015","7,829.10","7,867.35","7,880.00","7,799.75","140.72M","-0.55%"
